,n·zov Ërty,dÙleûitosù
8,ratio_pledged_goal,0.1940077157257923
10,usd_goal,0.040100092784583735
9,ratio_running_duration,0.02715397266912963
30,LSA_6,0.02436812259459089
50,LDA_1,0.021663734451987045
29,LSA_5,0.02029897458434394
53,LDA_4,0.019012127976110134
63,LDA_14,0.018956369735549476
0,average_pledge,0.01745376773161268
7,pledged,0.017066116407172156
49,LDA_0,0.017050182141655133
57,LDA_8,0.01698619388697635
26,LSA_2,0.016736331375079894
33,LSA_9,0.01613663569507283
40,LSA_16,0.015595804803338498
4,days_preparation,0.014816851877390853
69,LDA_20,0.014388195808871867
72,LDA_23,0.014123289307334004
58,LDA_9,0.013836146644886348
6,days_running,0.013735467213546768
59,LDA_10,0.013726897177601748
70,LDA_21,0.01358978311909798
27,LSA_3,0.013378718734756543
68,LDA_19,0.013322368330535093
67,LDA_18,0.013204804273994498
11,usd_pledged,0.012594144997247017
20,image_count,0.012585311190257
1,backers_count,0.012197594529209484
34,LSA_10,0.011667560721006174
52,LDA_3,0.01141268020760646
41,LSA_17,0.011024881094519828
51,LDA_2,0.0106573200763921
48,LSA_24,0.010501107301611301
45,LSA_21,0.010097155886073633
2,category_position,0.010071657921302149
35,LSA_11,0.009833723240523578
65,LDA_16,0.009732618134988758
66,LDA_17,0.009204399080554199
28,LSA_4,0.009104282612359935
42,LSA_18,0.00893828000028462
44,LSA_20,0.008794153224074406
64,LDA_15,0.008678375457915952
5,days_remaining,0.00850447261611099
39,LSA_15,0.008488368927383815
43,LSA_19,0.008403652903660921
61,LDA_12,0.008173164731262424
46,LSA_22,0.008081528039367328
60,LDA_11,0.008074818833337952
37,LSA_13,0.0080167287250241
55,LDA_6,0.007878737388880147
47,LSA_23,0.007787870080370527
71,LDA_22,0.007693841530455115
17,launch_month,0.007356849197424918
38,LSA_14,0.007189986263707373
54,LDA_5,0.007154371007894252
32,LSA_8,0.007149002622681995
24,LSA_0,0.006928708268477489
73,LDA_24,0.006522939681586815
62,LDA_13,0.00621166184145224
21,blurb_words,0.006207077372891317
25,LSA_1,0.006205317540022202
36,LSA_12,0.006045346911481239
18,launch_day,0.005742709391756465
31,LSA_7,0.005526905674405944
19,launch_hour,0.005482188899946812
13,updates_likes_sum_while_scraping,0.0052682128704978235
56,LDA_7,0.0051522366061247235
16,deadline_hour,0.0050029450994320875
22,category_parent_fashion,0.004510031440571279
23,location_type_Miscellaneous,0.004458056135480217
12,comments_count_public_while_scraping,0.0039596919088168555
3,days_duration,0.003466061748354452
14,updates_likes_max_while_scraping,0.002859009424089843
15,deadline_day,0.002693595590113298
