,n·zov Ërty,dÙleûitosù
5,ratio_pledged_goal,0.26778365845611607
46,LDA_8,0.02565816221820741
0,average_pledge,0.025105368849657934
40,LDA_1,0.025073698613424247
41,LDA_2,0.02289337350907735
4,pledged,0.018957282736185653
7,usd_goal,0.018376326600666282
23,LSA_6,0.018320567583564165
20,LSA_3,0.017335183175328648
8,usd_pledged,0.017108748630204992
42,LDA_3,0.01696458097600017
28,LSA_13,0.01666206923781623
31,LSA_16,0.016489880733440366
17,LSA_0,0.016378485976248976
48,LDA_10,0.016284937031619245
13,image_count,0.015457063864932553
1,backers_count,0.014820572381970952
52,LDA_14,0.014521842934493092
25,LSA_10,0.014513578765532073
35,LSA_21,0.0141106362237666
50,LDA_12,0.014004741462999926
18,LSA_1,0.013738041194802859
22,LSA_5,0.013073896080248932
2,category_position,0.013032371730497422
56,LDA_18,0.013031243695692042
49,LDA_11,0.012827401479319107
54,LDA_16,0.012619037590825643
47,LDA_9,0.012000381895949168
62,LDA_24,0.011686957481454253
21,LSA_4,0.011670881002684132
30,LSA_15,0.011289431369625144
61,LDA_23,0.011161107135095976
14,video_kickstarter_count,0.010749393974145104
6,ratio_running_duration,0.01062298145679047
58,LDA_20,0.010444213218800598
37,LSA_23,0.01041176914111021
33,LSA_18,0.01029449300432548
60,LDA_22,0.01013761136955419
59,LDA_21,0.010133586707912857
55,LDA_17,0.009575698319717753
26,LSA_11,0.009304801835106354
29,LSA_14,0.00911005922580725
38,LSA_24,0.008973470759405371
24,LSA_9,0.008631844698334107
3,days_preparation,0.008571822516554313
32,LSA_17,0.008239241939846473
45,LDA_7,0.007973265626380757
34,LSA_19,0.00780077239686934
9,comments_count_creator_while_scraping,0.0076903863790315765
10,comments_count_public_while_scraping,0.007487902402092965
44,LDA_6,0.007374650296073964
19,LSA_2,0.0072919970490620606
16,category_parent_theater,0.006930829840566921
15,category_parent_fashion,0.00686456943246534
57,LDA_19,0.006826701073438211
51,LDA_13,0.006067200821689391
36,LSA_22,0.005525964115728388
53,LDA_15,0.005345094218415374
39,LDA_0,0.004776504737075124
27,LSA_12,0.004752732978137651
11,updates_likes_mean_while_scraping,0.003909181915842926
43,LDA_4,0.0028647961550236664
12,deadline_hour,0.0023649517772483036
