,n·zov Ërty,dÙleûitosù
3,ratio_pledged_goal,0.277489869198463
31,LDA_10,0.031919014396684646
20,LSA_16,0.02934971167213287
25,LDA_1,0.028413528746075358
28,LDA_4,0.02753434241732514
17,LSA_12,0.025423103889110354
37,LDA_21,0.02505391275669292
4,ratio_running_duration,0.02445103471865827
5,usd_goal,0.022782440458530645
0,average_pledge,0.022484309409156092
27,LDA_3,0.02211345244758626
26,LDA_2,0.02131505687380116
15,LSA_10,0.020844307870019643
36,LDA_19,0.02068839090581267
34,LDA_17,0.019919635426600774
12,LSA_4,0.018826856081728186
14,LSA_6,0.01849932316730737
18,LSA_13,0.018378997960843104
30,LDA_9,0.01802867168306833
16,LSA_11,0.017719300330678554
22,LSA_20,0.017706360236104973
35,LDA_18,0.017092378228815163
2,pledged,0.017088041712155208
38,LDA_22,0.017056832539037663
19,LSA_15,0.016931666502396473
13,LSA_5,0.016694591241274148
24,LDA_0,0.01657884300029105
6,usd_pledged,0.016430897725701846
32,LDA_11,0.016308690722690127
39,LDA_24,0.015984763134023694
23,LSA_24,0.014895967294286671
33,LDA_14,0.01442998078872641
29,LDA_6,0.01420272429024506
11,LSA_1,0.013984644103656645
8,deadline_day,0.012294029366464898
21,LSA_18,0.012101428485608834
10,audio_count,0.010838030083894052
1,backers_count,0.010693079273014695
9,image_count,0.010346306036893255
7,comments_count_public_while_scraping,0.00710548482444388
